timestamp_video,timestamp_wall,event_type,confidence,details
0:00:01,2026-03-29 20:57:26,Violence,0.802,
0:00:01,2026-03-29 20:57:29,Violence,0.9937,
0:00:01,2026-03-29 20:57:33,Violence,0.978,
0:00:01,2026-03-29 20:57:36,Violence,0.9975,
0:00:02,2026-03-29 20:57:40,Violence,0.9992,
0:00:02,2026-03-29 20:57:41,Smoke,0.6502,"(516, 445, 555, 476)"
0:00:02,2026-03-29 20:57:44,Violence,0.9967,
0:00:02,2026-03-29 20:57:48,Violence,0.9983,
0:00:03,2026-03-29 20:57:51,Violence,0.9997,
0:00:03,2026-03-29 20:57:54,Violence,0.999,
0:00:03,2026-03-29 20:57:54,Gun,0.5518,"(353, 257, 550, 462)"
0:00:03,2026-03-29 20:57:58,Violence,0.9986,
0:00:03,2026-03-29 20:58:02,Violence,0.9993,
0:00:04,2026-03-29 20:58:05,Violence,0.9968,
0:00:04,2026-03-29 20:58:08,Violence,0.9993,
0:00:04,2026-03-29 20:58:12,Violence,0.9947,
0:00:05,2026-03-29 20:58:15,Violence,0.9909,
0:00:05,2026-03-29 20:58:19,Violence,0.9995,
0:00:06,2026-03-29 20:58:22,Violence,0.9993,
0:00:06,2026-03-29 20:58:25,Violence,0.997,
0:00:06,2026-03-29 20:58:29,Violence,0.9984,
0:00:07,2026-03-29 20:58:33,Violence,0.9998,
0:00:07,2026-03-29 20:58:36,Violence,0.9988,
0:00:08,2026-03-29 20:58:39,Violence,0.998,
0:00:08,2026-03-29 20:58:43,Violence,0.9998,
0:00:09,2026-03-29 20:58:46,Violence,0.999,
0:00:09,2026-03-29 20:58:50,Violence,0.9984,
0:00:09,2026-03-29 20:58:53,Violence,0.9962,
0:00:09,2026-03-29 20:58:57,Violence,0.9998,
0:00:10,2026-03-29 20:59:00,Violence,0.9992,
0:00:10,2026-03-29 20:59:04,Violence,0.9992,
0:00:10,2026-03-29 20:59:07,Violence,0.9995,
0:00:11,2026-03-29 20:59:11,Violence,0.9999,
0:00:11,2026-03-29 20:59:14,Violence,0.9998,
0:00:12,2026-03-29 20:59:18,Violence,0.9998,
0:00:12,2026-03-29 20:59:21,Violence,0.9995,
0:00:12,2026-03-29 20:59:24,Violence,0.9992,
0:00:12,2026-03-29 20:59:28,Violence,0.9996,
0:00:13,2026-03-29 20:59:33,Violence,0.9984,
0:00:13,2026-03-29 20:59:36,Violence,0.9994,
0:00:13,2026-03-29 20:59:40,Violence,0.9976,
0:00:13,2026-03-29 20:59:43,Violence,0.9993,
0:00:14,2026-03-29 20:59:44,Gun,0.5683,"(14, 104, 630, 337)"
0:00:14,2026-03-29 20:59:47,Violence,0.9976,
0:00:14,2026-03-29 20:59:50,Violence,0.9979,
0:00:15,2026-03-29 20:59:54,Violence,0.9989,
0:00:15,2026-03-29 20:59:57,Violence,0.9932,
0:00:15,2026-03-29 21:00:01,Violence,0.9963,
0:00:16,2026-03-29 21:00:04,Violence,0.9995,
0:00:16,2026-03-29 21:00:07,Violence,0.9985,
0:00:16,2026-03-29 21:00:12,Violence,0.9995,
0:00:16,2026-03-29 21:00:15,Violence,0.999,
0:00:17,2026-03-29 21:00:19,Violence,0.9974,
0:00:17,2026-03-29 21:00:20,Gun,0.5147,"(130, 37, 635, 451)"
0:00:17,2026-03-29 21:00:23,Violence,0.9998,
0:00:17,2026-03-29 21:00:26,Violence,0.9944,
0:00:18,2026-03-29 21:00:29,Violence,0.9956,
0:00:18,2026-03-29 21:00:33,Violence,0.9981,
0:00:19,2026-03-29 21:00:36,Violence,0.9975,
0:00:19,2026-03-29 21:00:40,Violence,0.9951,
0:00:20,2026-03-29 21:00:43,Violence,0.9987,
0:00:20,2026-03-29 21:00:46,Violence,0.9939,
0:00:20,2026-03-29 21:00:49,Violence,0.7531,
0:00:01,2026-03-29 21:04:38,Violence,0.802,
0:00:01,2026-03-29 21:04:41,Violence,0.9915,
0:00:01,2026-03-29 21:04:45,Violence,0.9868,
0:00:01,2026-03-29 21:04:48,Violence,0.994,
0:00:02,2026-03-29 21:04:53,Violence,0.9973,
0:00:02,2026-03-29 21:04:58,Violence,0.9992,
0:00:02,2026-03-29 21:05:01,Smoke,0.6502,"(516, 445, 555, 476)"
0:00:02,2026-03-29 21:05:02,Violence,0.9987,
0:00:02,2026-03-29 21:05:05,Violence,0.9983,
0:00:03,2026-03-29 21:05:09,Violence,0.9997,
0:00:03,2026-03-29 21:05:11,Gun,0.5518,"(353, 257, 550, 462)"
0:00:03,2026-03-29 21:05:13,Violence,0.999,
0:00:03,2026-03-29 21:05:16,Violence,0.9999,
0:00:03,2026-03-29 21:05:20,Violence,0.9997,
0:00:04,2026-03-29 21:05:23,Violence,0.9968,
0:00:04,2026-03-29 21:05:27,Violence,0.9959,
0:00:04,2026-03-29 21:05:31,Violence,0.9929,
0:00:04,2026-03-29 21:05:34,Violence,0.9967,
0:00:05,2026-03-29 21:05:37,Violence,0.9997,
0:00:05,2026-03-29 21:05:41,Violence,0.9908,
0:00:05,2026-03-29 21:05:45,Violence,0.9992,
0:00:06,2026-03-29 21:05:48,Violence,0.9993,
0:00:06,2026-03-29 21:05:51,Violence,0.9992,
0:00:06,2026-03-29 21:05:55,Violence,0.9992,
0:00:07,2026-03-29 21:05:58,Violence,0.9996,
0:00:07,2026-03-29 21:06:02,Violence,0.9993,
0:00:07,2026-03-29 21:06:06,Violence,0.9998,
0:00:07,2026-03-29 21:06:09,Violence,0.9996,
0:00:07,2026-03-29 21:06:13,Violence,0.998,
0:00:08,2026-03-29 21:06:16,Violence,0.998,
0:00:08,2026-03-29 21:06:20,Violence,0.9998,
0:00:08,2026-03-29 21:06:23,Violence,0.9997,
0:00:08,2026-03-29 21:06:30,Violence,0.9994,
0:00:09,2026-03-29 21:06:34,Violence,0.9987,
0:00:09,2026-03-29 21:06:38,Violence,0.9972,
0:00:09,2026-03-29 21:06:41,Violence,0.9998,
0:00:09,2026-03-29 21:06:46,Violence,0.9998,
0:00:10,2026-03-29 21:06:50,Violence,0.9992,
0:00:10,2026-03-29 21:06:53,Violence,0.9998,
0:00:10,2026-03-29 21:06:57,Violence,0.9992,
0:00:10,2026-03-29 21:07:02,Violence,0.9999,
0:00:11,2026-03-29 21:07:07,Violence,0.9996,
0:00:11,2026-03-29 21:07:11,Violence,0.9997,
0:00:11,2026-03-29 21:07:14,Violence,0.9998,
0:00:11,2026-03-29 21:07:18,Violence,0.9998,
0:00:12,2026-03-29 21:07:21,Violence,0.9998,
0:00:12,2026-03-29 21:07:25,Violence,0.9995,
0:00:12,2026-03-29 21:07:29,Violence,0.9994,
0:00:13,2026-03-29 21:07:32,Violence,0.9984,
0:00:13,2026-03-29 21:07:36,Violence,0.9981,
0:00:13,2026-03-29 21:07:39,Violence,0.9988,
0:00:13,2026-03-29 21:07:44,Violence,0.9993,
0:00:14,2026-03-29 21:07:45,Gun,0.5683,"(14, 104, 630, 337)"
0:00:14,2026-03-29 21:07:47,Violence,0.9949,
0:00:14,2026-03-29 21:07:51,Violence,0.9974,
0:00:14,2026-03-29 21:07:55,Violence,0.9992,
0:00:15,2026-03-29 21:07:59,Violence,0.9986,
0:00:15,2026-03-29 21:08:02,Violence,0.9932,
0:00:15,2026-03-29 21:08:05,Violence,0.9998,
0:00:16,2026-03-29 21:08:09,Violence,0.998,
0:00:16,2026-03-29 21:08:12,Violence,0.9964,
0:00:16,2026-03-29 21:08:16,Violence,0.9995,
0:00:17,2026-03-29 21:08:20,Violence,0.999,
0:00:17,2026-03-29 21:08:23,Violence,0.9936,
0:00:17,2026-03-29 21:08:23,Gun,0.5147,"(130, 37, 635, 451)"
0:00:17,2026-03-29 21:08:27,Violence,0.9998,
0:00:18,2026-03-29 21:08:31,Violence,0.9974,
0:00:18,2026-03-29 21:08:34,Violence,0.9951,
0:00:18,2026-03-29 21:08:37,Violence,0.9981,
0:00:19,2026-03-29 21:08:40,Violence,0.9975,
0:00:19,2026-03-29 21:08:44,Violence,0.9951,
0:00:20,2026-03-29 21:08:47,Violence,0.9987,
0:00:20,2026-03-29 21:08:50,Violence,0.9884,
0:00:20,2026-03-29 21:08:54,Violence,0.9761,
0:00:01,2026-03-29 21:12:30,Violence,0.802,
0:00:01,2026-03-29 21:12:34,Violence,0.9937,
0:00:01,2026-03-29 21:12:37,Violence,0.9724,
0:00:02,2026-03-29 21:12:40,Violence,0.9957,
0:00:02,2026-03-29 21:12:43,Smoke,0.6502,"(516, 445, 555, 476)"
0:00:02,2026-03-29 21:12:44,Violence,0.9987,
0:00:02,2026-03-29 21:12:47,Violence,0.9962,
0:00:03,2026-03-29 21:12:51,Violence,0.995,
0:00:03,2026-03-29 21:12:54,Violence,0.9998,
0:00:03,2026-03-29 21:12:56,Gun,0.5518,"(353, 257, 550, 462)"
0:00:03,2026-03-29 21:12:57,Violence,0.999,
0:00:03,2026-03-29 21:13:01,Violence,0.9999,
